ID,Character,Date,Day,Moment,Tag,Sentiment,Line,CharLimit,Source,Notes
,,,,,,,,,
# ============================================================,,,,,,,,,
# CORE PHASE TRANSITIONS,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-T1-1,_Fallback,All,,T1-PreKitchen,,,Why don't we go to the kitchen?,31,,
CORE-T1-2,_Fallback,All,,T1-PreKitchen,,,I could use a drink...,22,,
CORE-K1-1,_Fallback,All,,K1-KitchenArrive,,,Make me something good!,23,,
CORE-K1-2,_Fallback,All,,K1-KitchenArrive,,,What are you pouring?,21,,
CORE-T2-1,_Fallback,All,,T2-PostKitchen,,,Let's sit down for a bit.,25,,
CORE-T2-2,_Fallback,All,,T2-PostKitchen,,,Show me the living room!,24,,
CORE-SHOWME,_Fallback,All,,R-RevealStart,,,Show me what you've got!,24,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# CORE PHASE TITLES,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-TITLE-P1,_System,All,,PhaseTitle,,,Impressions,11,,
CORE-TITLE-P2,_System,All,,PhaseTitle,,,Drinks,6,,
CORE-TITLE-P3,_System,All,,PhaseTitle,,,Warming Up,10,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# CORE DRINK REACTIONS,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-DRINK-PERFECT1,_Fallback,All,,K3-DrinkVerdict,,Like,Poured beautifully.,19,,
CORE-DRINK-PERFECT2,_Fallback,All,,K3-DrinkVerdict,,Like,That's a perfect pour.,22,,
CORE-DRINK-GOOD1,_Fallback,All,,K3-DrinkVerdict,,Like,Nicely done.,12,,
CORE-DRINK-GOOD2,_Fallback,All,,K3-DrinkVerdict,,Like,That looks good.,16,,
CORE-DRINK-MEH1,_Fallback,All,,K3-DrinkVerdict,,Neutral,"Hmm, a bit uneven.",18,,
CORE-DRINK-MEH2,_Fallback,All,,K3-DrinkVerdict,,Neutral,This could use some work.,25,,
CORE-DRINK-BAD1,_Fallback,All,,K3-DrinkVerdict,,Dislike,This is... rough.,17,,
CORE-DRINK-BAD2,_Fallback,All,,K3-DrinkVerdict,,Dislike,Did you even try?,17,,
CORE-DRINK-INGLIKE,_Fallback,All,,K3-DrinkVerdict,,Like,"Ooh, I like what's in this.",27,,Liked ingredient
CORE-DRINK-INGDIS,_Fallback,All,,K3-DrinkVerdict,,Dislike,There's something in here I don't love.,38,,Disliked ingredient
CORE-DRINK-INGFAV,_Fallback,All,,K3-DrinkVerdict,,Like,You remembered my favorite!,27,,Special/fav ingredient
CORE-K2,_Fallback,All,,K2-DrinkSuspense,,,Hmm...,6,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# CORE REVEAL / SWEEP COMMENTARY,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-LOVEIT,_Fallback,All,,R-RevealEnd,,Like,I love what you've done here.,29,,High affection
CORE-NOTBAD,_Fallback,All,,R-RevealEnd,,Neutral,Not bad... there's potential.,28,,Mid affection
CORE-WORKABLE,_Fallback,All,,R-RevealEnd,,Dislike,We can work on this...,21,,Low affection
CORE-SWEEP-CLEAN,_Fallback,All,,SweepClean,,Like,So clean and tidy!,18,,
CORE-SWEEP-MESSY,_Fallback,All,,SweepClean,,Dislike,It's a bit messy...,18,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# CORE FAREWELLS,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-F1-A,_Fallback,All,,F1-FarewellHigh,,,I had a wonderful time...,24,,
CORE-F1-B,_Fallback,All,,F1-FarewellHigh,,,Here... I brought you something.,31,,Flower gift
CORE-F2,_Fallback,All,,F2-FarewellLow,,,Well... goodnight.,18,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# CORE DATE END GRADES,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-GRADE-FAIL,_System,All,,DateEnd,,,They left early...,17,,
CORE-GRADE-S,_System,All,,DateEnd,,,A perfect connection! They'll definitely call back.,51,,
CORE-GRADE-A,_System,All,,DateEnd,,,A wonderful time together. Very promising!,42,,
CORE-GRADE-B,_System,All,,DateEnd,,,A pleasant evening. Room for improvement.,41,,
CORE-GRADE-C,_System,All,,DateEnd,,,An awkward date. Better luck next time.,38,,
CORE-GRADE-DF,_System,All,,DateEnd,,,That did not go well at all...,29,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# WEATHER DIALOGUE (Nema),,,,,,,,,
# ============================================================,,,,,,,,,
CORE-WX-CLEAR1,Nema,All,,WeatherLine,,,What a beautiful day...,22,,
CORE-WX-CLEAR2,Nema,All,,WeatherLine,,,The sun feels so nice.,22,,
CORE-WX-CLEAR3,Nema,All,,WeatherLine,,,Perfect weather for a date.,27,,
CORE-WX-CLEAR4,Nema,All,,WeatherLine,,,I love clear skies like this.,29,,
CORE-WX-OVER1,Nema,All,,WeatherLine,,,Feels cozy with those clouds.,29,,
CORE-WX-OVER2,Nema,All,,WeatherLine,,,I like this moody sky.,22,,
CORE-WX-OVER3,Nema,All,,WeatherLine,,,"Hmm, hope it doesn't rain.",27,,
CORE-WX-OVER4,Nema,All,,WeatherLine,,,Overcast days have a certain charm.,35,,
CORE-WX-RAIN1,Nema,All,,WeatherLine,,,I love the sound of rain.,25,,
CORE-WX-RAIN2,Nema,All,,WeatherLine,,,Rainy days are the best for staying in.,39,,
CORE-WX-RAIN3,Nema,All,,WeatherLine,,,Good thing we're inside.,24,,
CORE-WX-RAIN4,Nema,All,,WeatherLine,,,Rain makes everything feel so intimate.,38,,
CORE-WX-STORM1,Nema,All,,WeatherLine,,,"Wow, listen to that storm!",26,,
CORE-WX-STORM2,Nema,All,,WeatherLine,,,A little dramatic out there...,29,,
CORE-WX-STORM3,Nema,All,,WeatherLine,,,Storms make everything feel exciting.,36,,
CORE-WX-STORM4,Nema,All,,WeatherLine,,,I hope the power doesn't go out...,33,,
CORE-WX-SNOW1,Nema,All,,WeatherLine,,,Snow! It's so pretty.,21,,
CORE-WX-SNOW2,Nema,All,,WeatherLine,,,I want to go outside and play in it.,36,,
CORE-WX-SNOW3,Nema,All,,WeatherLine,,,Everything looks magical.,25,,
CORE-WX-SNOW4,Nema,All,,WeatherLine,,,Hot cocoa weather...,19,,
CORE-WX-FALL1,Nema,All,,WeatherLine,,,Autumn vibes... I love it.,25,,
CORE-WX-FALL2,Nema,All,,WeatherLine,,,Look at those leaves.,21,,
CORE-WX-FALL3,Nema,All,,WeatherLine,,,This is my favorite time of year.,32,,
CORE-WX-FALL4,Nema,All,,WeatherLine,,,The colors are gorgeous.,24,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# DREAM SCREEN,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-DREAM1,_System,All,,DreamScreen,,,Nema drifts to sleep...,22,,
CORE-DREAM2,_System,All,,DreamScreen,,,The apartment hums quietly...,28,,
CORE-DREAM3,_System,All,,DreamScreen,,,Tomorrow is another day...,25,,
CORE-DREAM4,_System,All,,DreamScreen,,,Dreams swirl in the dark...,27,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# DAY INTRO,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-DAYINTRO-1,_System,All,,DayIntro,,,A new day.,10,,
CORE-DAYINTRO-2,_System,All,,DayIntro,,,Morning light.,14,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# MAIL — LETTERS (Day column = which day delivered),,,,,,,,,
# ============================================================,,,,,,,,,
MAIL-D1-L1,_System,,1,MailLetter,,,,,,Sender and content for day 1 letter
MAIL-D2-L1,_System,,2,MailLetter,,,,,,Sender and content for day 2 letter
MAIL-D3-L1,_System,,3,MailLetter,,,,,,
MAIL-D4-L1,_System,,4,MailLetter,,,,,,
MAIL-D5-L1,_System,,5,MailLetter,,,,,,
MAIL-D6-L1,_System,,6,MailLetter,,,,,,
MAIL-D7-L1,_System,,7,MailLetter,,,,,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# ANSWERING MACHINE MESSAGES (secondary arc hints),,,,,,,,,
# ============================================================,,,,,,,,,
AM-PARIS-1,Paris,,,,,,,,,"After date 1, hints at gamer side"
AM-PARIS-2,Paris,,,,,,,,,"After date 2, stronger hint"
AM-SOPHIE-1,Sophie,,,,,,,,,"After date 1, hints at shredder side"
AM-SOPHIE-2,Sophie,,,,,,,,,"After date 2, stronger hint"
AM-STERLING-1,Sterling,,,,,,,,,"After date 1, hints at nurturer side"
AM-STERLING-2,Sterling,,,,,,,,,"After date 2, stronger hint"
,,,,,,,,,
# ============================================================,,,,,,,,,
# TUTORIAL CARDS,,,,,,,,,
# ============================================================,,,,,,,,,
TUT-NEWSPAPER,_System,,,TutorialCard,,,,,,"First newspaper: how to read ads, call dates"
TUT-CLEANUP,_System,,,TutorialCard,,,,,,First cleanup phase
TUT-DRINKS,_System,,,TutorialCard,,,,,,First drink making
TUT-PHASE3,_System,,,TutorialCard,,,,,,First reveal phase
TUT-FLOWER,_System,,,TutorialCard,,,,,,First flower gift
,,,,,,,,,
# ============================================================,,,,,,,,,
# NEMA FLOWER COMMENTARY (wellbeing tiers),,,,,,,,,
# ============================================================,,,,,,,,,
NEMA-FLOWER-BLOOM,Nema,,,FlowerState,,,,,,"Overall >= 0.8, in full bloom"
NEMA-FLOWER-GROW,Nema,,,FlowerState,,,,,,"Overall >= 0.6, growing steadily"
NEMA-FLOWER-BUD,Nema,,,FlowerState,,,,,,"Overall >= 0.4, a small bud"
NEMA-FLOWER-STEM,Nema,,,FlowerState,,,,,,"Overall >= 0.2, a thin stem"
NEMA-FLOWER-SPROUT,Nema,,,FlowerState,,,,,,Overall < 0.2 barely a sprout
,,,,,,,,,
# ============================================================,,,,,,,,,
# MISC UI / SYSTEM TEXT,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-FLOWER-GIFT,_System,All,,FlowerGift,,,{characterName} gave you a flower!,34,,Template string
CORE-CLEAN1,_System,All,,CleanReact,,,Look at this place shine!,25,,
CORE-CLEAN2,_System,All,,CleanReact,,,There much better!,18,,
CORE-LOCK,_System,All,,Interaction,,,Hmm... guess it's locked.,25,,
CORE-BLANKET,_System,All,,Interaction,,,Something was underneath...,26,,
CORE-BOOKFIND,_System,All,,Interaction,,,Something fell out of the books...,33,,
CORE-FRIDGE-FULL,_System,All,,Interaction,,,No more space in the fridge.,28,,
CORE-NOROOM,_System,All,,Interaction,,,No room in here.,16,,
CORE-ENDTITLE,_System,All,,EndScreen,,,Thanks for Playing!,19,,
CORE-NODATES,_System,All,,EndScreen,,,No dates yet.,13,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# NEWSPAPER DEFAULTS,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-PAPER-TITLE,_System,All,,Newspaper,,,The Daily Bloom,14,,
CORE-PAPER-YOURAD,_System,All,,Newspaper,,,YOUR AD,7,,Badge text
CORE-PAPER-NEMAD,Nema,All,,Newspaper,,,"Seeking beauty in the everyday. Loves flowers, quiet mornings, and sharp scissors.",82,,Nema's personal ad
CORE-PAPER-DEFAULT,_Fallback,All,,Newspaper,,,Seeking someone who appreciates long walks and existential dread.,64,,Default if no ad text set
CORE-PAPER-BIZNAME,_Fallback,All,,Newspaper,,,Local Business,14,,Default commercial
CORE-PAPER-BIZTEXT,_Fallback,All,,Newspaper,,,Visit us today!,15,,Default commercial
,,,,,,,,,
# ============================================================,,,,,,,,,
# HINT TEXT,,,,,,,,,
# ============================================================,,,,,,,,,
HINT-CLEANING,_System,,,Hint,,,Cleaning,8,,
HINT-WATERING,_System,,,Hint,,,Watering,8,,
HINT-PAIRING,_System,,,Hint,,,Pairing,7,,
HINT-MUSIC,_System,,,Hint,,,Music,5,,
HINT-PERFUME,_System,,,Hint,,,Perfume,7,,
HINT-OUTFIT,_System,,,Hint,,,Outfit,6,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# SETTINGS LABELS,,,,,,,,,
# ============================================================,,,,,,,,,
SET-GHOSTTRAILS,_System,,,SettingsLabel,,,Ghost Trails,12,,
SET-GLOW,_System,,,SettingsLabel,,,Glow Intensity,14,,
SET-DITHER,_System,,,SettingsLabel,,,Dither Pattern,14,,
SET-EDGEDARK,_System,,,SettingsLabel,,,Edge Darkening,14,,
SET-DYNVIS,_System,,,SettingsLabel,,,Dynamic Visuals,15,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# PAUSE PAGE EMPTY STATES,,,,,,,,,
# ============================================================,,,,,,,,,
PAUSE-NOPLANTS,_System,,,PauseEmpty,,,no plants yet,13,,
PAUSE-NOBOOKS,_System,,,PauseEmpty,,,no books found,14,,
PAUSE-NORECIPES,_System,,,PauseEmpty,,,no recipes available,20,,
PAUSE-NODECOR,_System,,,PauseEmpty,,,no wall decor,13,,
PAUSE-NOKEYS,_System,,,PauseEmpty,,,no key items,12,,
PAUSE-NOMAIL,_System,,,PauseEmpty,,,no mail collected,16,,
PAUSE-NODATES,_System,,,PauseEmpty,,,no dates yet,12,,
PAUSE-NODISCOVERY,_System,,,PauseEmpty,,,no discoveries yet,18,,
PAUSE-NONOTABLE,_System,,,PauseEmpty,,,nothing notable,15,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# MAIN MENU,,,,,,,,,
# ============================================================,,,,,,,,,
MENU-NEWGAME,_System,,,MenuButton,,,New Game,8,,
MENU-CONTINUE,_System,,,MenuButton,,,Continue,8,,
MENU-SETTINGS,_System,,,MenuButton,,,Settings,8,,
MENU-QUIT,_System,,,MenuButton,,,Quit,4,,
MENU-QUITMENU,_System,,,MenuButton,,,quit to menu,12,,
MENU-QUITDESK,_System,,,MenuButton,,,quit to desktop,15,,
